idx,time_imp,imp_count,hist_count,best_model
109,16,2,3,2
110,10,62,84,3
111,14,11,1,3
112,10,63,30,1
113,12,26,8,3
114,11,57,70,1
115,12,19,23,2
116,18,7,8,2
117,13,123,22,3
118,9,29,16,1
119,21,60,15,3
120,6,124,15,3
121,16,12,4,1
122,17,101,4,1
123,10,13,42,2
124,11,53,17,3
125,2,2,16,3
126,14,15,25,2
127,2,13,0,1
128,8,49,9,1
129,7,6,9,3
130,12,25,174,2
131,14,17,10,1
132,7,5,81,2
133,10,37,120,1
134,10,2,5,3
135,1,109,35,1
136,15,2,7,2
137,10,14,9,2
138,6,14,32,2
139,9,9,27,3
140,8,5,10,2
141,16,5,1,3
142,19,2,44,1
143,9,33,8,2
144,12,5,18,2
145,9,26,54,2
146,10,16,51,1
147,12,37,82,1
148,22,46,2,1
149,1,155,4,1
150,13,26,60,1
151,8,87,48,2
152,16,10,24,2
153,8,2,22,3
154,10,92,7,1
155,6,9,19,1
156,11,4,89,3
157,6,42,5,1
158,13,19,16,2
159,14,114,11,2
160,10,9,64,3
161,13,11,39,1
162,5,64,2,1
163,4,51,18,2
164,10,41,24,2
165,9,42,27,1
166,3,5,44,2
167,18,24,7,1
168,9,12,48,1
169,6,23,19,2
170,10,60,11,3
171,13,10,8,1
172,10,2,14,3
173,8,88,38,2
174,5,93,77,1
175,11,40,36,2
176,7,4,1,3
177,6,18,6,3
178,6,28,15,1
179,11,75,89,1
180,11,9,62,3
181,7,92,22,1
182,6,60,73,3
183,7,26,1,3
184,4,24,66,1
185,10,11,123,1
186,12,23,10,2
187,17,11,60,1
188,3,11,70,1
189,20,17,73,1
190,7,6,8,2
191,10,30,99,3
192,2,11,0,2
193,7,33,17,1
194,12,15,13,1
195,11,5,12,3
196,12,74,0,3
197,9,263,8,1
198,10,2,18,3
199,6,103,16,1
200,10,56,52,1
201,11,20,6,1
202,13,111,26,1
203,12,79,16,2
204,5,37,6,1
205,7,66,178,1
206,12,6,11,1
207,16,18,26,1
208,5,10,23,3
209,13,49,22,2
210,8,37,35,3
211,12,46,32,2
212,11,11,0,3
213,21,2,23,2
214,11,5,10,2
215,11,12,58,1
216,9,78,69,1
217,12,27,80,2
218,16,35,16,1
219,1,11,219,3
220,3,59,26,1
221,9,38,28,1
222,17,32,25,1
223,12,98,133,1
224,10,8,10,1
225,14,12,43,1
226,5,10,8,3
227,9,129,5,1
228,8,72,64,1
229,12,99,18,1
230,7,20,11,3
231,14,22,46,1
232,16,13,0,2
233,6,11,148,3
234,8,11,9,1
235,4,7,3,1
236,11,32,34,3
237,6,32,24,1
238,12,84,174,1
239,14,7,24,2
240,10,37,0,2
241,8,104,1,1
242,9,14,45,1
243,14,9,67,3
244,11,87,11,2
245,19,45,8,2
246,13,60,21,3
247,19,99,36,1
248,5,12,20,1
249,5,10,16,2
250,8,52,8,1
251,11,128,11,2
252,2,32,100,1
253,20,7,65,3
254,16,2,1,3
255,6,10,114,3
256,8,61,5,1
257,5,12,5,3
258,9,41,24,3
259,11,21,6,1
260,13,48,94,1
261,10,104,52,2
262,12,11,39,2
263,14,7,22,1
264,14,8,36,2
265,10,67,21,2
266,12,99,35,3
267,10,75,0,3
268,11,70,14,2
269,7,129,17,1
270,12,69,105,1
271,9,46,37,2
272,9,4,3,2
273,13,10,1,1
274,9,62,66,2
275,9,5,12,1
276,16,9,15,2
277,14,6,0,2
278,14,114,36,2
279,11,26,21,1
280,16,24,19,3
281,3,30,5,3
282,11,30,6,2
283,23,75,9,1
284,8,55,122,3
285,13,34,20,1
286,7,73,54,1
287,16,2,22,3
288,8,57,190,3
289,15,22,9,2
290,16,72,3,3
291,5,10,9,2
292,7,38,6,1
293,13,17,11,3
294,13,5,5,1
295,4,30,10,2
296,7,131,40,1
297,14,2,22,3
298,9,162,37,2
299,10,23,32,3
300,10,38,17,3
301,5,9,19,2
302,11,73,13,1
303,10,49,2,1
304,9,73,4,1
305,13,7,15,1
306,8,13,84,2
307,10,71,41,1
308,14,45,15,3
309,7,11,173,2
310,7,4,46,2
311,6,11,10,1
312,10,34,16,1
313,12,23,6,2
314,10,4,17,1
315,9,8,7,3
316,21,258,26,1
317,5,4,27,2
318,7,62,40,1
319,9,33,62,2
320,14,7,5,2
321,8,23,147,1
322,14,14,4,1
323,4,4,20,2
324,7,67,78,1
325,12,21,32,2
326,8,83,17,1
327,9,116,32,2
328,7,20,7,1
329,13,24,23,3
330,8,47,36,2
331,6,3,135,3
332,10,32,2,1
333,13,2,62,2
334,16,68,5,1
335,8,57,6,1
336,8,59,27,3
337,13,11,16,2
338,7,17,35,2
339,5,68,54,3
340,17,19,41,2
341,10,23,56,1
342,18,21,2,1
343,14,45,24,2
344,7,49,28,2
345,9,7,73,3
346,9,179,118,1
347,7,39,16,2
348,12,46,45,2
349,5,53,24,3
350,5,4,3,3
351,13,35,25,1
352,12,10,53,1
353,12,56,6,1
354,10,5,12,3
355,13,55,1,2
356,11,11,9,1
357,10,23,33,3
358,6,95,3,1
359,16,12,40,2
360,8,12,8,3
361,6,11,6,3
362,10,34,64,2
363,7,2,2,2
364,2,2,9,3
365,8,20,7,3
366,9,54,82,2
367,9,30,28,1
368,8,26,5,1
369,13,134,12,2
370,12,7,8,3
371,19,7,46,3
372,16,55,181,2
373,15,50,10,2
374,16,75,65,1
375,8,37,47,2
376,16,10,16,3
377,10,2,7,3
378,9,70,12,1
379,10,141,5,1
380,13,81,27,1
381,10,8,11,2
382,15,146,33,2
383,21,36,42,1
384,9,12,3,2
385,11,18,16,2
386,11,7,15,3
387,9,9,7,2
388,7,67,108,2
389,8,89,50,2
390,5,10,101,1
391,9,3,8,3
392,9,41,1,1
393,16,4,2,1
394,14,44,16,2
395,0,10,4,1
396,6,6,20,1
397,9,11,10,3
398,4,36,13,1
399,15,25,14,1
400,7,88,66,2
401,11,11,18,2
402,6,22,109,1
403,14,135,43,1
404,4,107,30,3
405,10,88,38,1
406,10,7,4,2
407,16,49,33,1
408,9,28,34,2
409,14,48,9,2
410,10,22,11,2
411,18,84,23,1
412,14,28,58,1
413,9,41,8,2
414,6,15,12,2
415,15,11,7,3
416,11,26,16,2
417,5,2,4,2
418,9,67,78,3
419,7,10,13,3
420,5,63,50,1
421,20,121,13,3
422,13,12,35,2
423,14,35,40,3
424,8,3,0,2
425,7,42,6,3
426,0,7,1,1
427,14,11,5,2
428,11,72,34,2
429,6,4,13,3
430,7,36,16,1
431,12,17,50,3
432,5,36,8,2
433,6,10,6,1
434,15,6,4,3
435,2,40,90,1
436,7,76,20,2
437,9,11,30,1
438,6,10,12,1
439,17,13,8,1
440,8,54,38,1
441,12,33,14,2
442,4,2,44,3
443,15,42,25,2
444,5,21,3,3
445,15,98,3,3
446,4,11,65,1
447,2,4,68,2
448,11,13,34,1
449,10,88,13,1
450,7,25,5,2
451,12,104,15,1
452,7,32,36,1
453,7,76,15,2
454,7,36,11,2
455,16,110,5,2
456,6,22,77,2
457,12,2,17,3
458,5,2,19,3
459,10,8,31,2
460,8,14,0,1
461,12,32,4,1
462,9,25,15,2
463,11,12,3,1
464,9,12,57,2
465,0,7,14,2
466,5,21,7,2
467,16,4,5,2
468,13,42,41,2
469,6,10,33,3
470,12,102,4,2
471,11,11,19,2
472,14,11,85,1
473,6,40,17,1
474,21,7,23,1
475,12,2,5,3
476,15,10,4,3
477,10,8,23,1
478,13,7,12,1
479,15,7,1,2
480,11,46,20,2
481,7,2,7,3
482,8,59,17,2
483,15,184,1,1
484,9,20,49,1
485,4,11,6,2
486,12,84,74,3
487,8,18,13,2
488,9,11,11,1
489,13,126,8,3
490,9,5,13,2
491,8,4,4,2
492,7,13,3,2
493,7,2,17,3
494,13,12,71,2
495,9,19,62,2
496,13,5,34,2
497,9,25,114,2
498,14,32,24,1
499,6,7,24,1
500,12,23,104,3
501,12,21,16,1
502,11,21,0,1
503,8,5,3,2
504,5,2,46,3
505,5,48,27,2
506,9,10,29,3
507,21,13,3,3
508,10,14,71,3
509,8,57,77,1
510,6,7,11,1
511,12,60,80,2
512,7,59,42,2
513,3,35,95,1
514,11,32,4,3
515,20,16,27,2
516,18,90,57,2
517,4,12,78,3
518,11,27,21,2
519,14,56,15,2
520,16,2,11,2
521,3,28,15,2
522,18,12,3,1
523,14,35,12,1
524,11,7,56,2
525,6,10,4,2
526,15,48,8,2
527,9,20,8,3
528,8,30,84,1
529,12,53,2,1
530,7,138,25,1
531,11,2,6,3
532,14,16,48,3
533,14,10,96,1
534,13,20,46,3
535,14,17,12,1
536,11,4,2,3
537,12,5,19,2
538,9,22,0,2
539,10,72,11,2
540,14,34,10,1
541,20,2,6,3
542,6,124,11,3
543,5,26,15,1
544,5,26,57,2
545,6,18,362,1
546,5,4,31,2
547,3,115,3,2
548,16,36,47,2
549,11,64,58,2
550,6,42,27,2
551,7,19,31,2
552,9,50,14,1
553,13,22,31,3
554,1,26,25,2
555,11,7,8,3
556,8,15,32,2
557,11,103,159,1
558,4,53,8,3
559,11,8,40,2
560,9,10,8,1
561,12,26,2,3
562,16,28,5,2
563,5,22,25,1
564,14,36,4,3
565,13,33,13,2
566,9,27,32,2
567,10,8,16,1
568,0,22,19,2
569,10,31,31,1
570,8,14,0,2
571,3,32,52,2
572,10,29,1,3
573,5,11,18,2
574,7,5,1,2
575,16,25,47,3
576,10,12,9,2
577,13,51,31,2
578,17,8,71,2
579,12,7,23,2
580,9,56,58,2
581,6,7,3,1
582,5,4,100,2
583,17,8,42,3
584,6,17,8,3
585,10,16,0,2
586,12,35,13,3
587,6,17,10,2
588,11,111,73,1
589,15,9,50,2
590,15,78,12,1
591,18,10,13,2
592,9,19,0,1
593,4,32,59,1
594,10,24,107,2
595,11,6,76,1
596,7,119,40,1
597,11,33,31,3
598,6,37,19,2
599,10,34,18,1
600,16,2,5,3
601,5,33,5,2
602,14,28,45,1
603,11,36,4,1
604,11,46,33,2
605,13,55,26,1
606,18,155,91,2
607,12,31,7,3
608,5,32,152,1
609,13,75,19,2
610,7,13,10,3
611,12,7,36,2
612,14,191,60,3
613,6,11,10,3
614,13,32,16,2
615,8,44,5,1
616,9,6,9,1
617,7,12,9,3
618,9,7,20,3
619,10,19,6,3
620,13,118,10,1
621,10,97,7,1
622,12,33,1,2
623,17,48,57,2
624,13,42,40,1
625,20,28,11,2
626,9,6,1,3
627,6,88,19,3
628,10,12,50,1
629,6,90,72,2
630,6,7,4,1
631,15,9,0,3
632,4,2,48,1
633,6,2,42,3
634,11,79,59,1
635,15,26,9,2
636,13,84,8,2
637,6,152,5,3
638,12,28,46,1
639,7,10,5,1
640,18,2,12,2
641,10,8,26,1
642,10,113,14,1
643,9,11,40,3
644,15,42,12,2
645,3,11,5,1
646,8,106,18,1
647,3,3,6,1
648,11,65,97,1
649,9,22,102,2
650,5,53,29,2
651,12,14,0,1
652,6,72,10,1
653,7,22,5,2
654,1,14,21,1
655,9,28,14,2
656,12,87,128,2
657,10,11,16,1
658,6,13,6,1
659,7,20,45,2
660,3,8,9,2
661,5,66,32,1
662,7,2,5,2
663,8,7,33,2
664,12,15,22,3
665,12,50,51,2
666,6,4,51,3
667,6,2,23,2
668,7,2,6,3
669,5,23,7,2
670,23,10,20,1
671,17,122,8,1
672,7,14,13,2
673,10,13,14,3
674,13,16,15,3
675,8,16,13,3
676,15,2,5,3
677,11,104,5,1
678,8,127,23,1
679,10,27,16,2
680,14,7,25,2
681,8,60,28,2
682,11,56,205,1
683,4,26,2,2
684,12,74,54,2
685,11,10,5,1
686,4,17,49,1
687,8,10,64,1
688,9,101,13,2
689,13,111,6,2
690,6,59,69,2
691,8,7,35,3
692,18,12,3,2
693,12,70,46,1
694,4,33,2,1
695,10,14,71,2
696,9,14,42,2
697,5,18,10,1
698,4,19,64,2
699,9,74,55,1
700,10,29,0,1
701,10,20,36,1
702,5,7,4,1
703,7,60,29,1
704,7,14,17,2
705,12,16,70,3
706,12,17,62,1
707,6,133,18,1
708,11,68,6,1
709,5,19,48,1
710,15,20,6,3
711,16,11,256,3
712,11,60,76,2
713,5,36,61,2
714,9,79,13,1
715,5,85,148,1
716,13,48,17,2
717,6,51,130,1
718,10,11,59,2
719,11,7,3,1
720,15,111,33,2
721,14,19,40,2
722,9,48,69,2
723,16,15,18,3
724,4,12,12,2
725,11,25,4,2
726,12,13,6,2
727,5,30,69,1
728,6,27,17,2
729,12,41,130,3
730,8,21,26,3
731,11,2,37,2
732,11,7,8,1
733,8,10,38,3
734,11,60,11,2
735,7,18,0,1
736,12,34,8,2
737,10,94,116,2
738,4,8,101,3
739,11,40,0,3
740,13,16,0,2
741,10,39,14,2
742,16,7,25,3
743,4,104,18,1
744,10,15,46,2
745,10,52,49,1
746,6,26,15,2
747,16,17,20,3
748,7,109,30,2
749,6,32,26,1
750,11,5,12,3
751,7,2,4,3
752,5,8,76,3
753,9,7,28,2
754,16,4,23,1
755,11,6,15,1
756,7,60,20,2
757,9,98,74,3
758,5,33,21,2
759,8,27,35,3
760,7,158,5,2
761,18,5,2,3
762,16,71,0,3
763,20,2,5,3
764,13,15,5,3
765,10,11,30,1
766,5,88,140,2
767,7,11,29,2
768,6,10,5,2
769,9,231,35,2
770,16,21,21,2
771,12,188,13,1
772,8,8,16,2
773,6,20,68,1
774,14,95,15,2
775,14,59,45,2
776,0,7,70,1
777,5,26,3,2
778,12,35,17,2
779,9,14,46,2
780,7,20,12,3
781,10,18,32,2
782,5,60,39,2
783,7,69,138,2
784,8,27,91,1
785,6,2,18,2
786,8,2,78,3
787,10,32,18,3
788,6,29,9,2
789,17,5,7,2
790,7,7,37,2
791,12,5,65,2
792,8,14,13,2
793,6,11,9,2
794,15,10,0,2
795,9,10,5,1
796,7,56,14,1
797,2,12,63,3
798,7,2,41,3
799,20,20,1,2
800,11,19,22,3
801,14,4,37,2
802,13,19,61,1
803,11,7,40,3
804,0,88,7,2
805,6,65,4,1
806,14,22,30,2
807,7,35,18,2
808,4,28,24,1
809,7,4,11,3
810,9,2,10,3
811,9,18,54,3
812,6,19,3,2
813,12,84,63,1
814,10,51,33,2
815,11,51,19,2
816,13,31,6,1
817,10,2,223,2
818,13,26,23,2
819,7,58,69,1
820,14,5,141,2
821,15,119,52,3
822,7,53,14,1
823,20,77,20,3
824,13,84,0,2
825,9,27,13,1
826,12,37,26,1
827,22,17,22,2
828,10,9,76,3
829,9,16,90,1
830,12,16,19,3
831,6,42,39,2
832,9,62,64,1
833,8,20,8,3
834,8,2,3,3
835,19,30,76,1
836,15,25,10,2
837,6,114,6,1
838,14,17,38,3
839,0,20,175,2
840,19,90,5,1
841,10,23,9,2
842,15,44,9,1
843,10,24,12,2
844,11,93,110,3
845,11,21,10,2
846,10,40,162,2
847,19,2,55,3
848,12,10,21,2
849,3,16,6,2
850,10,13,148,2
851,8,32,31,1
852,10,15,2,1
853,7,89,25,1
854,14,19,40,3
855,10,73,17,1
856,11,20,0,2
857,7,47,21,1
858,13,115,6,1
859,7,28,59,1
860,12,107,3,1
861,11,19,6,2
862,14,29,14,2
863,8,5,25,2
864,6,9,7,3
865,15,7,6,3
866,8,77,6,3
867,5,2,6,3
868,15,17,18,2
869,10,37,68,3
870,13,20,199,1
871,6,25,56,3
872,9,74,106,1
873,5,7,10,1
874,3,20,33,1
875,15,12,0,3
876,7,46,24,2
877,13,27,4,3
878,15,48,18,2
879,12,19,29,2
880,13,22,5,3
881,15,8,24,3
882,8,35,24,2
883,13,18,14,2
884,15,14,91,1
885,7,91,96,1
886,15,34,27,2
887,10,7,33,3
888,11,10,31,2
889,10,25,5,1
890,13,11,8,3
891,11,73,30,2
892,7,7,88,2
893,13,2,9,2
894,5,33,1,1
895,13,55,17,1
896,7,46,5,2
897,10,27,17,2
898,3,6,49,1
899,10,82,6,2
900,12,4,1,1
901,8,13,28,3
902,10,36,4,2
903,8,7,39,2
904,1,7,22,3
905,13,131,7,1
906,7,72,26,1
907,7,25,102,2
908,8,7,135,3
909,9,6,3,3
910,11,7,0,2
911,14,124,4,1
912,10,7,8,2
913,12,30,118,3
914,16,8,0,2
915,5,68,4,1
916,8,22,16,3
917,5,72,13,2
918,5,2,2,3
919,8,11,47,3
920,12,65,124,1
921,13,18,30,1
922,9,102,11,1
923,3,20,26,1
924,8,110,33,2
925,4,147,113,2
926,13,5,22,2
927,8,23,21,1
928,10,38,72,1
929,14,10,10,1
930,4,108,89,2
931,6,36,47,1
932,2,4,7,1
933,9,51,8,1
934,10,6,27,3
935,11,5,19,2
936,16,75,254,2
937,13,31,48,1
938,5,46,11,1
939,18,20,5,2
940,12,92,154,2
941,9,8,9,2
942,14,153,34,2
943,9,17,5,1
944,10,14,10,2
945,13,80,0,2
946,8,43,21,2
947,16,64,13,2
948,17,2,0,3
949,12,2,5,2
950,7,22,1,2
951,10,29,4,1
952,13,62,9,1
953,12,27,132,1
954,14,52,18,1
955,7,7,21,1
956,12,20,19,2
957,6,3,105,2
958,11,58,9,1
959,14,34,159,2
960,11,21,15,1
961,13,17,229,3
962,9,13,16,1
963,12,5,18,2
964,13,40,1,3
965,14,78,21,2
966,11,7,13,1
967,4,66,34,1
968,16,97,15,1
969,13,54,30,2
970,11,19,69,3
971,6,2,3,3
972,14,2,2,3
973,9,41,3,2
974,16,17,10,2
975,8,7,38,2
976,17,2,15,3
977,15,10,122,2
978,6,10,14,1
979,8,42,8,1
980,10,46,4,1
981,8,47,14,1
982,12,15,14,3
983,7,68,82,1
984,8,14,41,3
985,10,7,38,3
986,15,32,44,3
987,5,25,23,3
988,5,43,2,1
989,9,12,17,2
990,8,49,20,3
991,5,36,1,1
992,14,46,24,2
993,7,4,9,3
994,15,125,62,1
995,18,89,4,2
996,14,58,31,2
997,7,34,24,1
998,13,54,1,1
999,12,6,57,2
1000,6,27,25,1
1001,10,118,6,1
1002,11,2,2,3
1003,12,250,36,1
1004,19,4,45,2
1005,9,32,21,1
1006,13,14,14,2
1007,8,31,126,3
1008,21,66,19,1
1009,0,6,18,3
1010,16,38,0,3
1011,10,6,35,2
1012,9,20,8,1
1013,15,7,31,1
1014,15,6,52,2
1015,6,45,12,3
1016,9,66,50,2
1017,15,10,6,3
1018,4,15,18,1
1019,8,20,6,2
1020,5,11,8,1
1021,19,11,45,2
1022,7,129,79,2
1023,12,10,56,1
1024,21,7,119,1
1025,6,64,3,2
1026,7,30,39,1
1027,12,7,10,1
1028,15,14,8,3
1029,6,41,28,3
1030,8,131,41,1
1031,14,17,89,2
1032,13,11,15,3
1033,10,49,225,1
1034,19,53,31,2
1035,9,16,4,2
1036,7,42,2,1
1037,11,2,4,3
1038,7,9,22,2
1039,1,47,15,2
1040,5,22,1,1
1041,14,13,10,1
1042,16,10,2,2
1043,8,53,33,2
1044,9,28,1,1
1045,15,2,72,3
1046,14,113,44,3
1047,11,12,49,2
1048,17,39,20,2
1049,13,13,115,1
1050,14,49,3,3
1051,15,29,57,2
1052,4,7,16,2
1053,12,27,16,3
1054,6,51,35,2
1055,16,37,39,2
1056,11,16,5,3
1057,9,30,52,2
1058,12,44,45,1
1059,8,54,7,1
1060,9,28,3,3
1061,9,63,21,1
1062,4,25,3,2
1063,7,13,7,1
1064,7,67,36,1
1065,13,18,11,3
1066,12,17,244,2
1067,12,11,2,3
1068,18,52,14,2
1069,21,8,18,2
1070,10,25,43,1
1071,4,43,6,2
1072,6,67,25,2
1073,5,14,24,2
1074,6,10,20,2
1075,8,11,4,2
1076,8,23,3,2
1077,15,64,101,2
1078,9,66,7,2
1079,5,10,17,2
1080,1,32,29,2
1081,11,17,29,1
1082,6,32,52,2
1083,9,2,7,3
1084,1,4,10,3
1085,13,5,23,1
1086,8,60,1,1
1087,7,40,27,2
1088,6,7,5,2
1089,9,2,14,3
1090,0,128,21,1
1091,6,33,19,1
1092,14,2,8,3
1093,13,7,62,1
1094,8,21,21,1
1095,13,46,169,1
1096,8,54,2,2
1097,11,26,4,1
1098,4,23,59,3
1099,14,7,10,2
1100,13,49,7,2
1101,13,95,18,2
1102,10,2,19,3
1103,10,86,23,2
1104,14,118,30,2
1105,8,31,42,1
1106,10,56,39,2
1107,12,7,21,2
1108,9,14,19,2
1109,10,17,28,2
1110,6,2,43,3
1111,17,11,6,2
1112,7,20,3,3
1113,11,32,12,1
1114,5,77,18,1
1115,10,125,30,1
1116,9,70,214,2
1117,8,77,10,2
1118,15,59,0,1
1119,7,2,4,3
1120,8,6,7,3
1121,0,2,29,3
1122,6,11,129,2
1123,9,16,131,3
1124,9,7,94,3
1125,8,30,18,1
1126,12,80,83,3
1127,10,22,53,1
1128,12,27,3,3
1129,8,35,19,1
1130,8,33,18,1
1131,7,35,20,2
1132,6,60,6,1
1133,8,28,75,2
1134,14,12,15,2
1135,9,22,67,3
1136,15,15,24,2
1137,11,27,3,2
1138,7,24,13,2
1139,12,140,11,2
1140,8,32,54,1
1141,12,63,2,3
1142,5,2,2,3
1143,10,60,34,2
1144,8,14,286,1
1145,15,34,53,1
1146,6,53,10,1
1147,6,36,6,2
1148,8,7,20,1
1149,4,32,99,1
1150,17,5,88,1
1151,13,17,14,1
1152,10,11,22,2
1153,10,12,11,2
1154,13,5,70,2
1155,8,54,7,2
1156,4,41,21,2
1157,10,46,54,1
1158,8,66,4,2
1159,6,83,89,1
1160,5,4,17,3
1161,11,28,1,3
1162,6,57,5,1
1163,10,11,62,3
1164,12,14,273,1
1165,3,36,38,2
1166,13,26,15,1
1167,4,7,60,1
1168,7,37,5,1
1169,7,46,34,1
1170,7,50,23,2
1171,14,26,16,1
1172,16,35,11,2
1173,10,65,2,3
1174,22,14,12,2
1175,7,17,3,1
1176,5,28,33,2
1177,9,31,4,2
1178,14,78,24,2
1179,6,2,7,3
1180,10,245,80,1
1181,4,118,15,1
1182,9,28,8,2
1183,14,64,13,1
1184,8,14,13,2
1185,8,11,77,1
1186,14,8,42,1
1187,6,9,4,1
1188,9,38,6,2
1189,16,2,103,2
1190,8,5,66,1
1191,19,10,54,2
1192,10,17,60,3
1193,1,176,7,1
1194,10,6,37,3
1195,12,58,8,2
1196,12,15,58,3
1197,2,9,33,3
1198,12,17,5,3
1199,12,67,9,2
1200,9,20,16,2
1201,6,20,38,2
1202,13,77,30,2
1203,7,89,16,2
1204,12,12,6,2
1205,9,31,7,1
1206,17,125,53,3
1207,14,12,16,2
1208,12,90,153,1
1209,15,80,21,1
1210,5,29,17,3
1211,5,10,78,3
1212,13,13,1,3
1213,9,13,60,1
1214,3,54,29,3
1215,8,5,3,3
1216,15,74,9,2
1217,13,11,8,3
1218,6,11,51,2
1219,12,7,16,2
1220,11,17,2,1
1221,9,11,99,1
1222,7,58,32,1
1223,16,19,77,1
1224,7,30,18,1
1225,14,7,6,2
1226,2,27,58,2
1227,12,191,40,2
1228,3,7,109,2
1229,12,4,60,3
1230,13,87,17,2
1231,13,12,0,3
1232,12,39,26,2
1233,9,12,52,2
1234,3,74,28,1
1235,10,38,104,3
1236,16,25,41,3
1237,12,101,74,1
1238,14,13,351,1
1239,7,15,28,1
1240,9,64,8,2
1241,7,22,14,2
1242,5,4,7,2
1243,9,136,16,1
1244,8,5,80,1
1245,11,89,70,2
1246,9,13,20,2
1247,3,108,12,2
1248,15,6,12,1
1249,7,25,60,1
1250,11,16,18,3
1251,19,62,23,1
1252,7,11,0,1
1253,15,10,5,2
1254,3,67,7,1
1255,4,100,39,1
1256,8,2,16,3
1257,8,42,10,1
1258,8,44,11,2
1259,11,22,20,2
1260,5,115,98,1
1261,12,33,30,2
1262,9,7,3,2
1263,6,39,9,2
1264,12,53,32,1
1265,14,36,8,3
1266,11,67,37,1
1267,8,4,22,2
1268,11,23,142,3
1269,11,27,33,2
1270,8,6,11,3
1271,12,71,15,3
1272,18,44,11,2
1273,6,31,58,2
1274,5,7,6,3
1275,17,17,23,2
1276,4,10,8,3
1277,8,11,10,2
1278,10,8,12,1
1279,7,7,21,1
1280,12,285,38,2
1281,17,117,8,1
1282,9,21,26,2
1283,10,26,60,3
1284,9,45,8,1
1285,8,46,69,2
1286,3,11,135,2
1287,4,103,10,1
1288,9,5,0,3
1289,1,110,98,1
1290,10,8,78,2
1291,12,19,48,1
1292,14,13,18,1
1293,4,11,113,2
1294,4,74,39,1
1295,13,69,31,2
1296,8,47,58,3
1297,7,7,34,3
1298,15,62,11,3
1299,8,107,9,1
1300,12,48,6,1
1301,10,12,18,1
1302,9,100,20,1
1303,11,53,40,2
1304,14,11,55,2
1305,15,32,104,1
1306,15,28,11,2
1307,10,7,37,3
1308,17,5,12,3
1309,10,10,63,2
1310,12,10,3,2
1311,10,7,39,2
1312,7,78,26,1
1313,10,11,71,3
1314,6,2,32,3
1315,9,2,7,3
1316,9,36,36,2
1317,2,2,0,2
1318,15,26,92,2
1319,7,37,122,3
1320,6,50,46,2
1321,12,2,16,2
1322,8,13,47,2
1323,16,111,12,2
1324,10,8,6,2
1325,13,39,17,3
1326,15,2,12,2
1327,13,18,31,1
1328,3,3,89,1
1329,6,30,123,1
1330,14,22,19,2
1331,5,27,8,3
1332,3,18,15,2
1333,7,17,38,3
1334,7,58,24,1
1335,8,103,12,2
1336,13,16,30,2
1337,7,24,4,2
1338,6,14,13,1
1339,11,34,21,2
1340,6,15,2,2
1341,11,14,19,2
1342,7,8,10,1
1343,6,23,156,2
1344,10,9,5,3
1345,13,87,26,1
1346,9,17,46,1
1347,8,134,77,2
1348,7,23,4,2
1349,5,60,211,1
1350,4,76,4,2
1351,7,3,19,1
1352,5,30,5,1
1353,7,44,43,1
1354,16,17,11,1
1355,11,30,50,2
1356,8,28,55,1
1357,10,10,28,2
1358,7,56,45,1
1359,7,11,13,2
